"時点","地域コード","地域","総人口（総数）【人】","注記","完全失業率（男女計）【%】","注記","景気動向指数（一致）2020年基準","注記","国内総生産（支出側）（名目）2020年基準【10億円】","注記","県内総生産（名目）2015年基準【百万円】","注記"
"2022年3月","00000","全国","125103000","","2.6","","112.1","","","","",""
"2022年4月","00000","全国","125071000","","2.7","","112.2","","","","",""
"2022年5月","00000","全国","125072000","","2.8","","111.6","","","","",""
"2022年6月","00000","全国","125104000","","2.7","","113.3","","","","",""
"2022年7月","00000","全国","125125000","","2.5","","113.8","","","","",""
"2022年8月","00000","全国","125082000","","2.6","","115.0","","","","",""
"2022年9月","00000","全国","124971000","","2.7","","114.5","","","","",""
"2022年10月","00000","全国","124947000","","2.6","","113.9","","","","",""
"2022年11月","00000","全国","124913000","","2.4","","113.9","","","","",""
"2022年12月","00000","全国","124861000","","2.3","","113.3","","","","",""
"2023年1月","00000","全国","124752000","","2.4","","112.9","","","","",""
"2023年2月","00000","全国","124631000","","2.5","","114.6","","","","",""
"2023年3月","00000","全国","124567000","","2.8","","114.7","","","","",""
"2023年4月","00000","全国","124554000","","2.7","","114.7","","","","",""
"2023年5月","00000","全国","124477000","","2.7","","115.3","","","","",""
"2023年6月","00000","全国","124511000","","2.6","","115.2","","","","",""
"2023年7月","00000","全国","124517000","","2.6","","115.0","","","","",""
"2023年8月","00000","全国","124439000","","2.7","","115.2","","","","",""
"2023年9月","00000","全国","124348000","","2.6","","115.6","","","","",""
"2023年10月","00000","全国","124352000","","2.5","","115.6","","","","",""
"2023年11月","00000","全国","124342000","","2.4","","114.8","","","","",""
"2023年12月","00000","全国","124299000","","2.3","","115.9","","","","",""
"2024年1月","00000","全国","124143000","","2.4","","112.9","","","","",""
"2024年2月","00000","全国","124105000","","2.6","","112.7","","","","",""
"2024年3月","00000","全国","124003000","","2.7","","113.8","","","","",""
"2024年4月","00000","全国","124002000","","2.8","","114.6","","","","",""
"2024年5月","00000","全国","123941000","","2.8","","115.6","","","","",""
"2024年6月","00000","全国","123979000","","2.6","","114.6","","","","",""
"2024年7月","00000","全国","123975000","","2.7","","115.6","","","","",""
"2024年8月","00000","全国","123887000","","2.5","","113.9","","","","",""
"2024年9月","00000","全国","123779000","","2.5","","114.2","","","","",""
"2024年10月","00000","全国","123802000","","2.4","","115.7","","","","",""
"2024年11月","00000","全国","123784000","","2.4","","115.2","","","","",""
"2024年12月","00000","全国","123744000","","2.2","","116.3","","","","",""
"2025年1月","00000","全国","123552000","","2.3","","116.3","","","","",""
"2025年2月","00000","全国","123441000","","2.4","","117.0","","","","",""
"2025年3月","00000","全国","123420000","","2.6","","115.8","","","","",""
"2025年4月","00000","全国","123397000","","2.7","","115.7","","","","",""
"2025年5月","00000","全国","123342000","","2.6","","115.5","","","","",""
"2025年6月","00000","全国","123371000","","2.5","","115.9","","","","",""
"2025年7月","00000","全国","123367000","","2.4","","114.3","","","","",""
"2025年8月","00000","全国","123268000","","2.6","","113.2","","","","",""
"2025年9月","00000","全国","123192000","","2.6","","114.9","","","","",""
"2025年10月","00000","全国","123210000","速報","2.6","","115.9","","","","",""
"2025年11月","00000","全国","123190000","速報","2.4","","114.9","","","","",""
"2025年12月","00000","全国","123160000","速報","2.4","","114.3","","","","",""
"2026年1月","00000","全国","122950000","速報","2.6","","","","","","",""
"2026年2月","00000","全国","122860000","速報","","","","","","","",""
"2000年1-3月期","00000","全国","","","4.9","","","","132573.5","","",""
"2000年4-6月期","00000","全国","","","4.9","","","","133854.6","","",""
"2000年7-9月期","00000","全国","","","4.6","","","","132862.8","","",""
"2000年10-12月期","00000","全国","","","4.5","","","","144103.9","","",""
"2001年1-3月期","00000","全国","","","4.9","","","","135023.2","","",""
"2001年4-6月期","00000","全国","","","5.1","","","","133524.5","","",""
"2001年7-9月期","00000","全国","","","5.0","","","","130820.5","","",""
"2001年10-12月期","00000","全国","","","5.1","","","","140073.4","","",""
"2002年1-3月期","00000","全国","","","5.4","","","","130980.3","","",""
"2002年4-6月期","00000","全国","","","5.5","","","","131306.6","","",""
"2002年7-9月期","00000","全国","","","5.3","","","","130210.3","","",""
"2002年10-12月期","00000","全国","","","5.2","","","","139893.6","","",""
"2003年1-3月期","00000","全国","","","5.5","","","","129136.8","","",""
"2003年4-6月期","00000","全国","","","5.5","","","","131291.2","","",""
"2003年7-9月期","00000","全国","","","5.1","","","","129917.7","","",""
"2003年10-12月期","00000","全国","","","4.9","","","","139866.1","","",""
"2004年1-3月期","00000","全国","","","5.0","","","","131336.1","","",""
"2004年4-6月期","00000","全国","","","4.8","","","","131832.3","","",""
"2004年7-9月期","00000","全国","","","4.7","","","","131156.6","","",""
"2004年10-12月期","00000","全国","","","4.4","","","","140309.1","","",""
"2005年1-3月期","00000","全国","","","4.7","","","","131305.2","","",""
"2005年4-6月期","00000","全国","","","4.5","","","","132522.9","","",""
"2005年7-9月期","00000","全国","","","4.3","","","","131813.7","","",""
"2005年10-12月期","00000","全国","","","4.3","","","","141743.5","","",""
"2006年1-3月期","00000","全国","","","4.4","","","","132792.4","","",""
"2006年4-6月期","00000","全国","","","4.2","","","","132758.5","","",""
"2006年7-9月期","00000","全国","","","4.1","","","","131558.4","","",""
"2006年10-12月期","00000","全国","","","3.9","","","","143456.7","","",""
"2007年1-3月期","00000","全国","","","4.1","","","","135042.1","","",""
"2007年4-6月期","00000","全国","","","3.8","","","","134618.9","","",""
"2007年7-9月期","00000","全国","","","3.7","","","","132391.6","","",""
"2007年10-12月期","00000","全国","","","3.7","","","","142518.4","","",""
"2008年1-3月期","00000","全国","","","4.0","","","","134287.1","","",""
"2008年4-6月期","00000","全国","","","4.0","","","","132307.0","","",""
"2008年7-9月期","00000","全国","","","4.0","","","","129432.5","","",""
"2008年10-12月期","00000","全国","","","3.9","","","","137328.9","","",""
"2009年1-3月期","00000","全国","","","4.6","","","","123403.4","","",""
"2009年4-6月期","00000","全国","","","5.2","","","","123545.6","","",""
"2009年7-9月期","00000","全国","","","5.4","","","","121129.1","","",""
"2009年10-12月期","00000","全国","","","5.0","","","","131283.6","","",""
"2010年1-3月期","00000","全国","","","5.1","","","","124883.7","","",""
"2010年4-6月期","00000","全国","","","5.3","","","","125529.7","","",""
"2010年7-9月期","00000","全国","","","5.1","","","","126336.1","","",""
"2010年10-12月期","00000","全国","","","4.8","","","","133390.0","","",""
"2011年1-3月期","00000","全国","","","4.8","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","","","123923.5","","",""
"2011年4-6月期","00000","全国","","","4.8","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","","","121844.7","","",""
"2011年7-9月期","00000","全国","","","4.5","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","","","123628.4","","",""
"2011年10-12月期","00000","全国","","","4.3","","","","131745.4","","",""
"2012年1-3月期","00000","全国","","","4.5","","","","126986.1","","",""
"2012年4-6月期","00000","全国","","","4.6","","","","124452.7","","",""
"2012年7-9月期","00000","全国","","","4.3","","","","123009.4","","",""
"2012年10-12月期","00000","全国","","","4.0","","","","130928.8","","",""
"2013年1-3月期","00000","全国","","","4.3","","","","126147.4","","",""
"2013年4-6月期","00000","全国","","","4.2","","","","126462.1","","",""
"2013年7-9月期","00000","全国","","","4.0","","","","126850.4","","",""
"2013年10-12月期","00000","全国","","","3.7","","","","135093.4","","",""
"2014年1-3月期","00000","全国","","","3.7","","","","130748.3","","",""
"2014年4-6月期","00000","全国","","","3.7","","","","129810.7","","",""
"2014年7-9月期","00000","全国","","","3.6","","","","129007.6","","",""
"2014年10-12月期","00000","全国","","","3.3","","","","138649.1","","",""
"2015年1-3月期","00000","全国","","","3.5","","","","136278.8","","",""
"2015年4-6月期","00000","全国","","","3.4","","","","135067.6","","",""
"2015年7-9月期","00000","全国","","","3.4","","","","134446.8","","",""
"2015年10-12月期","00000","全国","","","3.1","","","","143073.4","","",""
"2016年1-3月期","00000","全国","","","3.2","","","","139357.0","","",""
"2016年4-6月期","00000","全国","","","3.3","","","","136575.5","","",""
"2016年7-9月期","00000","全国","","","3.1","","","","135354.1","","",""
"2016年10-12月期","00000","全国","","","2.9","","","","144684.0","","",""
"2017年1-3月期","00000","全国","","","2.9","","","","139659.8","","",""
"2017年4-6月期","00000","全国","","","3.0","","","","138181.3","","",""
"2017年7-9月期","00000","全国","","","2.8","","","","138866.8","","",""
"2017年10-12月期","00000","全国","","","2.6","","","","148411.1","","",""
"2018年1-3月期","00000","全国","","","2.5","","","","142208.9","","",""
"2018年4-6月期","00000","全国","","","2.5","","","","140452.1","","",""
"2018年7-9月期","00000","全国","","","2.5","","","","138349.0","","",""
"2018年10-12月期","00000","全国","","","2.4","","","","148143.4","","",""
"2019年1-3月期","00000","全国","","","2.4","","","","142999.8","","",""
"2019年4-6月期","00000","全国","","","2.4","","","","141313.6","","",""
"2019年7-9月期","00000","全国","","","2.3","","","","140248.1","","",""
"2019年10-12月期","00000","全国","","","2.2","","","","147276.5","","",""
"2020年1-3月期","00000","全国","","","2.4","","","","141780.7","","",""
"2020年4-6月期","00000","全国","","","2.8","","","","130175.3","","",""
"2020年7-9月期","00000","全国","","","3.0","","","","135033.5","","",""
"2020年10-12月期","00000","全国","","","2.9","","","","147084.8","","",""
"2021年1-3月期","00000","全国","","","2.8","","","","142048.7","","",""
"2021年4-6月期","00000","全国","","","3.0","","","","140970.7","","",""
"2021年7-9月期","00000","全国","","","2.8","","","","139641.6","","",""
"2021年10-12月期","00000","全国","","","2.6","","","","150907.8","","",""
"2022年1-3月期","00000","全国","","","2.7","","","","145033.9","","",""
"2022年4-6月期","00000","全国","","","2.7","","","","143711.0","","",""
"2022年7-9月期","00000","全国","","","2.6","","","","141719.4","","",""
"2022年10-12月期","00000","全国","","","2.4","","","","154436.3","","",""
"2023年1-3月期","00000","全国","","","2.6","","","","151784.6","","",""
"2023年4-6月期","00000","全国","","","2.7","","","","151771.6","","",""
"2023年7-9月期","00000","全国","","","2.6","","","","150454.6","","",""
"2023年10-12月期","00000","全国","","","2.4","","","","162022.1","","",""
"2024年1-3月期","00000","全国","","","2.5","","","","155136.9","","",""
"2024年4-6月期","00000","全国","","","2.7","","","","155357.6","","",""
"2024年7-9月期","00000","全国","","","2.6","","","","155722.2","","",""
"2024年10-12月期","00000","全国","","","2.3","","","","168009.3","","",""
"2025年1-3月期","00000","全国","","","2.4","","","","163302.1","","",""
"2025年4-6月期","00000","全国","","","2.6","","","","163651.8","","",""
"2025年7-9月期","00000","全国","","","2.5","","","","162035.9","","",""
"2025年10-12月期","00000","全国","","","2.5","","","","173798.7","","",""
"2000年","00000","全国","126925843","総務省統計局「国勢調査」による。","4.7","","","","543394.8","","",""
"2000年","45000","宮崎県","1170007","","","","","","","","",""
"2000年","46000","鹿児島県","1786194","","","","","","","","",""
"2000年","45201","宮崎市","305755","","","","","","","","",""
"2000年","46201","鹿児島市","552098","","","","","","","","",""
"2001年","00000","全国","127316000","","5.0","","","","539441.6","","",""
"2001年","45000","宮崎県","1168000","","","","","","","","",""
"2001年","46000","鹿児島県","1782000","","","","","","","","",""
"2002年","00000","全国","127486000","","5.4","","","","532390.8","","",""
"2002年","45000","宮崎県","1165000","","","","","","","","",""
"2002年","46000","鹿児島県","1776000","","","","","","","","",""
"2003年","00000","全国","127694000","","5.3","","","","530211.8","","",""
"2003年","45000","宮崎県","1162000","","","","","","","","",""
"2003年","46000","鹿児島県","1770000","","","","","","","","",""
"2004年","00000","全国","127787000","","4.7","","","","534634.1","","",""
"2004年","45000","宮崎県","1159000","","","","","","","","",""
"2004年","46000","鹿児島県","1763000","","","","","","","","",""
"2005年","00000","全国","127767994","総務省統計局「国勢調査」による。","4.4","","","","537385.2","","",""
"2005年","45000","宮崎県","1153042","","","","","","","","",""
"2005年","46000","鹿児島県","1753179","","","","","","","","",""
"2005年","45201","宮崎市","310123","","","","","","","","",""
"2005年","46201","鹿児島市","604367","","","","","","","","",""
"2006年","00000","全国","127901000","","4.1","","","","540566.0","","",""
"2006年","45000","宮崎県","1150000","","","","","","","","",""
"2006年","46000","鹿児島県","1744000","","","","","","","","",""
"2007年","00000","全国","128033000","","3.9","","","","544571.1","","",""
"2007年","45000","宮崎県","1146000","","","","","","","","",""
"2007年","46000","鹿児島県","1733000","","","","","","","","",""
"2008年","00000","全国","128084000","","4.0","","","","533355.4","","",""
"2008年","45000","宮崎県","1141000","","","","","","","","",""
"2008年","46000","鹿児島県","1721000","","","","","","","","",""
"2009年","00000","全国","128032000","","5.1","","","","499361.7","","",""
"2009年","45000","宮崎県","1138000","","","","","","","","",""
"2009年","46000","鹿児島県","1712000","","","","","","","","",""
"2010年","00000","全国","128057352","総務省統計局「国勢調査」による。","5.1","","","","510139.6","","",""
"2010年","45000","宮崎県","1135233","","","","","","","","",""
"2010年","46000","鹿児島県","1706242","","","","","","","","",""
"2010年","45201","宮崎市","400583","","","","","","","","",""
"2010年","46201","鹿児島市","605846","","","","","","","","",""
"2011年","00000","全国","127834000","","4.6","東日本大震災の影響により全国集計結果が存在しないため、補完推計値を用いた。","","","501142.0","","",""
"2011年","45000","宮崎県","1130000","","","","","","","","",""
"2011年","46000","鹿児島県","1697000","","","","","","","","",""
"2012年","00000","全国","127593000","","4.3","","","","505377.1","","",""
"2012年","45000","宮崎県","1125000","","","","","","","","",""
"2012年","46000","鹿児島県","1687000","","","","","","","","",""
"2013年","00000","全国","127414000","","4.0","","","","514553.3","","",""
"2013年","45000","宮崎県","1119000","","","","","","","","",""
"2013年","46000","鹿児島県","1675000","","","","","","","","",""
"2014年","00000","全国","127237000","","3.6","","","","528215.6","","",""
"2014年","45000","宮崎県","1112000","","","","","","","","",""
"2014年","46000","鹿児島県","1662000","","","","","","","","",""
"2015年","00000","全国","127094745","総務省統計局「国勢調査」による。","3.4","","","","548866.7","","",""
"2015年","45000","宮崎県","1104069","","","","","","","","",""
"2015年","46000","鹿児島県","1648177","","","","","","","","",""
"2015年","45201","宮崎市","401138","","","","","","","","",""
"2015年","46201","鹿児島市","599814","","","","","","","","",""
"2016年","00000","全国","127042000","","3.1","","","","555970.6","","",""
"2016年","45000","宮崎県","1097000","","","","","","","","",""
"2016年","46000","鹿児島県","1637000","","","","","","","","",""
"2017年","00000","全国","126919000","","2.8","","","","565119.0","","",""
"2017年","45000","宮崎県","1091000","","","","","","","","",""
"2017年","46000","鹿児島県","1626000","","","","","","","","",""
"2018年","00000","全国","126749000","","2.4","","","","569153.5","","",""
"2018年","45000","宮崎県","1084000","","","","","","","","",""
"2018年","46000","鹿児島県","1614000","","","","","","","","",""
"2019年","00000","全国","126555000","","2.4","","","","571838.0","","",""
"2019年","45000","宮崎県","1077000","","","","","","","","",""
"2019年","46000","鹿児島県","1602000","","","","","","","","",""
"2020年","00000","全国","126146099","総務省統計局「国勢調査」による。","2.8","","","","554074.4","","",""
"2020年","45000","宮崎県","1069576","","","","","","","","",""
"2020年","46000","鹿児島県","1588256","","","","","","","","",""
"2020年","45201","宮崎市","401339","","","","","","","","",""
"2020年","46201","鹿児島市","593128","","","","","","","","",""
"2021年","00000","全国","125502000","","2.8","","","","573568.8","","",""
"2021年","45000","宮崎県","1061000","","","","","","","","",""
"2021年","46000","鹿児島県","1576000","","","","","","","","",""
"2022年","00000","全国","124947000","","2.6","","","","584900.6","","",""
"2022年","45000","宮崎県","1052000","","","","","","","","",""
"2022年","46000","鹿児島県","1563000","","","","","","","","",""
"2023年","00000","全国","124352000","","2.6","","","","616033.0","","",""
"2023年","45000","宮崎県","1042000","","","","","","","","",""
"2023年","46000","鹿児島県","1549000","","","","","","","","",""
"2024年","00000","全国","123802000","","2.5","","","","634226.0","","",""
"2024年","45000","宮崎県","1033000","","","","","","","","",""
"2024年","46000","鹿児島県","1532000","","","","","","","","",""
"2025年","00000","全国","123210000","速報","2.5","","","","662788.5","","",""
"2000年度","00000","全国","","","4.7","","","","545844.5","","",""
"2001年度","00000","全国","","","5.2","","","","535398.7","","",""
"2002年度","00000","全国","","","5.4","","","","530547.3","","",""
"2003年度","00000","全国","","","5.1","","","","532411.1","","",""
"2004年度","00000","全国","","","4.6","","","","534603.2","","",""
"2005年度","00000","全国","","","4.3","","","","538872.4","","",""
"2006年度","00000","全国","","","4.1","","","","542815.7","","",""
"2007年度","00000","全国","","","3.8","","","","543816.0","","",""
"2008年度","00000","全国","","","4.1","","","","522471.7","","",""
"2009年度","00000","全国","","","5.2","","","","500842.0","","",""
"2010年度","00000","全国","","","4.9","","","","509179.4","","",""
"2011年度","00000","全国","","","4.5","","","","504204.7","","524051006",""
"2011年度","45000","宮崎県","","","","","","","","","3383349",""
"2011年度","46000","鹿児島県","","","","","","","","","5230993",""
"2012年度","00000","全国","","","4.3","","","","504538.3","","522584311",""
"2012年度","45000","宮崎県","","","","","","","","","3377202",""
"2012年度","46000","鹿児島県","","","","","","","","","5220893",""
"2013年度","00000","全国","","","3.9","","","","519154.2","","536779601",""
"2013年度","45000","宮崎県","","","","","","","","","3490322",""
"2013年度","46000","鹿児島県","","","","","","","","","5350651",""
"2014年度","00000","全国","","","3.5","","","","533746.1","","542351387",""
"2014年度","45000","宮崎県","","","","","","","","","3525378",""
"2014年度","46000","鹿児島県","","","","","","","","","5381561",""
"2015年度","00000","全国","","","3.3","","","","551944.9","","563305394",""
"2015年度","45000","宮崎県","","","","","","","","","3654255",""
"2015年度","46000","鹿児島県","","","","","","","","","5607350",""
"2016年度","00000","全国","","","3.0","","","","556273.3","","567118499",""
"2016年度","45000","宮崎県","","","","","","","","","3708007",""
"2016年度","46000","鹿児島県","","","","","","","","","5678168",""
"2017年度","00000","全国","","","2.7","","","","567668.1","","581105205",""
"2017年度","45000","宮崎県","","","","","","","","","3806420",""
"2017年度","46000","鹿児島県","","","","","","","","","5966545",""
"2018年度","00000","全国","","","2.4","","","","569944.4","","585085282",""
"2018年度","45000","宮崎県","","","","","","","","","3804467",""
"2018年度","46000","鹿児島県","","","","","","","","","5871013",""
"2019年度","00000","全国","","","2.3","","","","570618.9","","579224181",""
"2019年度","45000","宮崎県","","","","","","","","","3741863",""
"2019年度","46000","鹿児島県","","","","","","","","","5795558",""
"2020年度","00000","全国","","","2.9","","","","554342.3","","559579236",""
"2020年度","45000","宮崎県","","","","","","","","","3625567",""
"2020年度","46000","鹿児島県","","","","","","","","","5596336",""
"2021年度","00000","全国","","","2.8","","","","576554.0","","579100132",""
"2021年度","45000","宮崎県","","","","","","","","","3717528",""
"2021年度","46000","鹿児島県","","","","","","","","","5948854",""
"2022年度","00000","全国","","","2.6","","","","591651.3","","595788788",""
"2022年度","45000","宮崎県","","","","","","","","","3766949",""
"2022年度","46000","鹿児島県","","","","","","","","","6048596",""
"2023年度","00000","全国","","","2.6","","","","619385.3","","",""
"2024年度","00000","全国","","","2.5","","","","642391.2","","",""
